0,0.98645,0.91961,0.91961,0.91961,0.97348,0.97348,0.99111,0.99111,0.96853
1.0087,1.0087,0.98645,0.98645,0.97289,1.0131,1.0354,1.0354,1.0332,0.99081
1.0087,1.0087,0.98704,0.98704,0.97171,1.0119,1.0324,1.0324,1.032,0.99022
1.0087,1.0087,0.98792,0.98792,0.96994,1.0101,1.0273,1.0273,1.0278,0.98934
1.0072,1.0072,0.98916,0.98916,0.96754,1.0101,1.0272,1.0272,1.0272,0.98814
1.002,1.002,0.99128,0.99128,0.96417,1.0135,1.0214,1.0214,1.0235,0.98645
0.99521,0.99739,0.99128,0.99413,0.95991,1.0135,1.0135,1.0135,1.0178,0.98432
0.98741,0.99739,0.98741,0.99739,0.95991,1.0045,1.0045,1.0045,1.0113,0.98185
0.97899,1.0008,0.98342,1.0008,0.97152,0.99511,0.99511,0.99511,1.0046,0.97916
0.97039,1.0039,0.98342,1.0039,0.98342,0.98603,0.98603,0.98603,0.99831,0.97634
